id;new_poste;Y1A_genre;Outil;Frequence
22;Data Scientist;Une femme;excel;Occasionnellement
22;Data Scientist;Une femme;sql;Jamais
22;Data Scientist;Une femme;spark;Jamais
22;Data Scientist;Une femme;spss;Jamais
22;Data Scientist;Une femme;c_java;Jamais
22;Data Scientist;Une femme;datastudio;Jamais
22;Data Scientist;Une femme;matlab;Jamais
24;Data Analyst;Une femme;python;Occasionnellement
24;Data Analyst;Une femme;r;Jamais
24;Data Analyst;Une femme;sas;Jamais
24;Data Analyst;Une femme;powerBI;Jamais
24;Data Analyst;Une femme;tableau;Occasionnellement
24;Data Analyst;Une femme;qlik;Jamais
24;Data Analyst;Une femme;excel;Occasionnellement
24;Data Analyst;Une femme;sql;Régulièrement
24;Data Analyst;Une femme;spark;Jamais
24;Data Analyst;Une femme;spss;Jamais
24;Data Analyst;Une femme;c_java;Jamais
24;Data Analyst;Une femme;datastudio;Jamais
24;Data Analyst;Une femme;matlab;Jamais
25;Data Scientist;NA;python;Régulièrement
25;Data Scientist;NA;r;Jamais
25;Data Scientist;NA;sas;Jamais
25;Data Scientist;NA;powerBI;Jamais
25;Data Scientist;NA;tableau;Jamais
25;Data Scientist;NA;qlik;Jamais
25;Data Scientist;NA;excel;Occasionnellement
25;Data Scientist;NA;sql;Jamais
25;Data Scientist;NA;spark;Jamais
25;Data Scientist;NA;spss;Jamais
25;Data Scientist;NA;c_java;Jamais
25;Data Scientist;NA;datastudio;Jamais
25;Data Scientist;NA;matlab;Jamais
26;Data Engineer;NA;python;Jamais
26;Data Engineer;NA;r;Jamais
26;Data Engineer;NA;sas;Jamais
26;Data Engineer;NA;powerBI;Jamais
26;Data Engineer;NA;tableau;Jamais
26;Data Engineer;NA;qlik;Jamais
26;Data Engineer;NA;excel;Jamais
26;Data Engineer;NA;sql;Jamais
26;Data Engineer;NA;spark;Jamais
26;Data Engineer;NA;spss;Jamais
26;Data Engineer;NA;c_java;Jamais
26;Data Engineer;NA;datastudio;Jamais
26;Data Engineer;NA;matlab;Jamais
29;Data Analyst;Un homme;python;Jamais
29;Data Analyst;Un homme;r;Jamais
29;Data Analyst;Un homme;sas;Régulièrement
29;Data Analyst;Un homme;powerBI;Jamais
29;Data Analyst;Un homme;tableau;Jamais
29;Data Analyst;Un homme;qlik;Jamais
29;Data Analyst;Un homme;excel;Régulièrement
29;Data Analyst;Un homme;sql;Régulièrement
29;Data Analyst;Un homme;spark;Jamais
29;Data Analyst;Un homme;spss;Jamais
29;Data Analyst;Un homme;c_java;Jamais
