id;new_poste;Y1A_genre;A4_secteur;A5_teleravail;A6_experience
110;Data Scientist;Un homme;Transport;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
111;Data Analyst;NA;Numérique / Web;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;5
112;Data Engineer;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;10
116;Data Analyst;NA;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);2
117;Data Analyst;Une femme;Autre;Distanciel complet (pas de travail sur site);2
118;Data Analyst;NA;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
119;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;8
122;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
125;Data Engineer;Un homme;Banques / assurances / finances;Mon activité est trop spécifique pour distinguer télétravail et présentiel;3
126;Data Scientist;Une femme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
127;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
128;Data Engineer;Un homme;Prestation de services informatiques / statistiques;Mon activité est trop spécifique pour distinguer télétravail et présentiel;7
129;Data Scientist;Une femme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
132;Data Scientist;NA;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
133;Data Engineer;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;5
136;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
137;Data Scientist;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
138;Data Scientist;Un homme;Transport;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
139;Data Scientist;Un homme;Industrie;Présentiel complet (pas ou quasiment pas de travail à distance);2
141;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
146;Data Analyst;Un homme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
147;Data Scientist;Une femme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;8
