id;new_poste;Y1A_genre;A4_secteur;A5_teleravail;A6_experience
470;Data Scientist;Un homme;Autre;Mon activité est trop spécifique pour distinguer télétravail et présentiel;2
472;Data Analyst;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
473;Data Engineer;Un homme;Marketing;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
474;Data Analyst;Un homme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
476;Data Engineer;NA;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);6
477;Data Scientist;Une femme;Santé;Distanciel complet (pas de travail sur site);10
480;Data Analyst;NA;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;NA
482;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
483;Data Scientist;NA;Industrie;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;1
485;Data Scientist;Une femme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
486;Data Analyst;Une femme;Marketing;Présentiel complet (pas ou quasiment pas de travail à distance);1
487;Data Analyst;Une femme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
492;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;10
493;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);5
494;Data Scientist;Un homme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
495;Data Scientist;NA;Industrie;Distanciel complet (pas de travail sur site);5
